ヲ,48,48,2912,ｵﾞ,オ,a,o,゙,*,*
ヲ,65,65,1170,ｺ,コ,k,o,コ,k,o
ヲ,183,183,1949,ﾝ,ン,n,n,ン,n,n
ン,13,13,3001,ン,ン,n,n,ン,n,n
ン,127,127,1729,ﾅ,ナ,n,a,ナ,n,a
ン,128,128,1994,ﾆ,ニ,n,i,ニ,n,i
ン,132,132,3089,ﾇ,ヌ,n,u,ヌ,n,u
ン,183,183,1949,ﾝ,ン,n,n,ン,n,n
・,14,14,1657,・,・,*,*,・,*,*
・・・,5,5,2057,…,.,*,*,.,*,*
ー,27,27,2533,ｰ,ー,*,*,ー,*,*
ー,29,29,3181,ｰｲ,ー,*,*,イ,a,i
ー,38,38,2626,ｳ,ウ,a,u,ウ,a,u
！,1,1,1957,!,!,*,*,!,*,*
？,4,4,1957,?,?,*,*,?,*,*
